rank,id_compra,id_compra_item,numero_controle_PNCP,ID_contratacao_PNCP,orgao_cnpj,orgao_razao_social,unidade_orgao,municipio,uf,ibge,modalidade,fornecedor_cnpj,fornecedor_nome,item_desc,item_desc_detalhada,material_ou_servico,cod_item_catalogo,catalog_code,catalog_match,qty,unidade_medida,unit_price,total,qty_band,quarter,peer_n,median,mad,score,score_kind,data_error,data_error_qty_x_price_over_total,source_item_url,source_compra_url,pncp_id,pncp_consulta
11,92776105901042024,9277610590104202400016,29063294000182-1-000184/2024,29063294000182-1-000184/2024,29063294000182,SERVICO AUTONOMO HOSPITALAR,SERVIÇO AUTONOMO HOSPITALAR DE VOLTA REDONDA,VOLTA REDONDA,RJ,3306305,Pregão - Eletrônico,47454600000193,GREEN MED DISTRIBUIDORA E IMPORTADORA DE MEDICAMENTOS E PRODUTOS PARA SAUDE LTDA,Epinefrina,"Epinefrina Dosagem: 1mg/Ml, Uso: Solução Injetável",Material,268255,268255,catmat,2000.000000,"Ampola 1,00 ML",21.600000,43200.000000,1001+,2024Q4,11,1.229500,0.089500,227.603352,mad_units,false,,https://repositorio.dados.gov.br/seges/comprasgov/anual/2024/comprasGOV-anual-VW_FT_PNCP_COMPRA_ITEM-2024.csv,https://repositorio.dados.gov.br/seges/comprasgov/anual/2024/comprasGOV-anual-VW_FT_PNCP_COMPRA-2024.csv,29063294000182-1-000184/2024,https://pncp.gov.br/app/editais/29063294000182-1-000184/2024
12,92776106901632024,9277610690163202400004,29063294000182-1-000188/2024,29063294000182-1-000188/2024,29063294000182,SERVICO AUTONOMO HOSPITALAR,SERVIÇO AUTONOMO HOSPITALAR DE VOLTA REDONDA,VOLTA REDONDA,RJ,3306305,Dispensa,,,Circuito Respiratório,"Circuito Respiratório Material: Silicone, Modelo: C/ 5 Traqueias, Diâmetro Traqueia: Cerca De 22MM, Comprimento Traqueia: Cerca De 60, 60, 60, 60, 40CM, Conector: C/ Conector ""Y"", Dreno Coletor De Água: C/ 2 Drenos, Linha Adicional: C/ Linha Proximal, Esterilidade: Esterilizável",Material,614940,614940,catmat,3.000000,Unidade,369.380000,1108.140000,2-10,2024Q4,3,30.730000,1.610000,210.341615,mad_units,false,,https://repositorio.dados.gov.br/seges/comprasgov/anual/2024/comprasGOV-anual-VW_FT_PNCP_COMPRA_ITEM-2024.csv,https://repositorio.dados.gov.br/seges/comprasgov/anual/2024/comprasGOV-anual-VW_FT_PNCP_COMPRA-2024.csv,29063294000182-1-000188/2024,https://pncp.gov.br/app/editais/29063294000182-1-000188/2024
13,92776105900942024,9277610590094202400011,29063294000182-1-000160/2024,29063294000182-1-000160/2024,29063294000182,SERVICO AUTONOMO HOSPITALAR,SERVIÇO AUTONOMO HOSPITALAR DE VOLTA REDONDA,VOLTA REDONDA,RJ,3306305,Pregão - Eletrônico,02172698000158,RADA-MED COMERCIAL LTDA,Agulha anestésica,"Agulha Anestésica Aplicação: P/ Raquidiana , Material: Aço Inoxidável , Dimensão: 25 G X 4 3/4"" , Tipo Ponta: Ponta Quincke , Componente: C/ Mandril , Conector Universal: Conector Luer Lock, Cônico E Transparente , Característica Adicional: P/ Obesos , Tipo Uso: Descartável , Esterilidade: Estéril",Material,389231,389231,catmat,90.000000,Unidade,24.300000,2187.000000,11-100,2024Q4,3,6.610000,0.090000,196.555556,mad_units,false,,https://repositorio.dados.gov.br/seges/comprasgov/anual/2024/comprasGOV-anual-VW_FT_PNCP_COMPRA_ITEM-2024.csv,https://repositorio.dados.gov.br/seges/comprasgov/anual/2024/comprasGOV-anual-VW_FT_PNCP_COMPRA-2024.csv,29063294000182-1-000160/2024,https://pncp.gov.br/app/editais/29063294000182-1-000160/2024
14,45006805900772024,4500680590077202400074,32512501000143-1-000141/2024,32512501000143-1-000141/2024,32512501000143,MUNICIPIO DE VOLTA REDONDA,PREFEITURA MUNICIPAL DE VOLTA REDONDA-RJ,VOLTA REDONDA,RJ,3306305,Pregão - Eletrônico,16813260000116,RCB SOLUCOES.COM COMERCIO E SERVICOS LTDA ME,Copo Descartável,"COPO DESCARTÁVEL, MATERIAL PLÁSTICO, CAPACIDADE 200 ML, CARACTERÍSTICASADICIONAIS PACOTE 100 UNIDADES",Material,618310,618310,catmat,1250.000000,"Caixa 25,00 PCT",86.990000,108737.500000,1001+,2024Q4,5,3.740000,0.450000,185.000000,mad_units,false,,https://repositorio.dados.gov.br/seges/comprasgov/anual/2024/comprasGOV-anual-VW_FT_PNCP_COMPRA_ITEM-2024.csv,https://repositorio.dados.gov.br/seges/comprasgov/anual/2024/comprasGOV-anual-VW_FT_PNCP_COMPRA-2024.csv,32512501000143-1-000141/2024,https://pncp.gov.br/app/editais/32512501000143-1-000141/2024
15,92668705900812024,9266870590081202400042,32504706000187-1-000168/2024,32504706000187-1-000168/2024,32504706000187,SERVICO AUTONOMO DE AGUA E ESGOTO SAAE,SERVICO AUTON DE AGUA E ESG DE VOLTA REDONDA,VOLTA REDONDA,RJ,3306305,Pregão - Eletrônico,27253891000144,S.K FERNANDES AUTOMACAO INDUSTRIAL LTDA,Disjuntor média tensão,"Disjuntor Média Tensão Características Adicionais: Caixa Moldada , Capacidade Interrupção Simétrica: 25 KA, Aplicação: Instalação Elétrica , Classe Tensão: 380 V, Corrente Nominal: 80 A, Tipo: Tripolar",Material,616962,616962,catmat,2.000000,Unidade,9750.000000,19500.000000,2-10,2024Q4,40,97.000000,58.960000,163.721167,mad_units,false,,https://repositorio.dados.gov.br/seges/comprasgov/anual/2024/comprasGOV-anual-VW_FT_PNCP_COMPRA_ITEM-2024.csv,https://repositorio.dados.gov.br/seges/comprasgov/anual/2024/comprasGOV-anual-VW_FT_PNCP_COMPRA-2024.csv,32504706000187-1-000168/2024,https://pncp.gov.br/app/editais/32504706000187-1-000168/2024
16,92685005901352024,9268500590135202400137,39563911000162-1-000165/2024,39563911000162-1-000165/2024,39563911000162,FUNDO MUNICIPAL DE SAUDE PMVR SMS,FUNDO MUNICIPAL DE SAÚDE DE VOLTA REDONDA-RJ,VOLTA REDONDA,RJ,3306305,Pregão - Eletrônico,,,Sulfametoxazol,"Sulfametoxazol Composição: Associado À Trimetoprima, Concentração: 400mg + 80mg",Material,308882,308882,catmat,13800.000000,"Ampola 5,00 ML",3.010000,41538.000000,1001+,2024Q4,8,0.180000,0.017550,161.253561,mad_units,false,,https://repositorio.dados.gov.br/seges/comprasgov/anual/2024/comprasGOV-anual-VW_FT_PNCP_COMPRA_ITEM-2024.csv,https://repositorio.dados.gov.br/seges/comprasgov/anual/2024/comprasGOV-anual-VW_FT_PNCP_COMPRA-2024.csv,39563911000162-1-000165/2024,https://pncp.gov.br/app/editais/39563911000162-1-000165/2024
17,45006805900772024,4500680590077202400075,32512501000143-1-000141/2024,32512501000143-1-000141/2024,32512501000143,MUNICIPIO DE VOLTA REDONDA,PREFEITURA MUNICIPAL DE VOLTA REDONDA-RJ,VOLTA REDONDA,RJ,3306305,Pregão - Eletrônico,73752081000150,VINAQUE COMERCIO DE ALIMENTOS LTDA,Copo Descartável,"COPO DESCARTÁVEL, MATERIAL PLÁSTICO, CAPACIDADE 200 ML, CARACTERÍSTICASADICIONAIS PACOTE 100 UNIDADES",Material,618310,618310,catmat,3750.000000,"Caixa 25,00 PCT",73.850000,276937.500000,1001+,2024Q4,5,3.740000,0.450000,155.800000,mad_units,false,,https://repositorio.dados.gov.br/seges/comprasgov/anual/2024/comprasGOV-anual-VW_FT_PNCP_COMPRA_ITEM-2024.csv,https://repositorio.dados.gov.br/seges/comprasgov/anual/2024/comprasGOV-anual-VW_FT_PNCP_COMPRA-2024.csv,32512501000143-1-000141/2024,https://pncp.gov.br/app/editais/32512501000143-1-000141/2024
18,45006805900442024,4500680590044202400019,32512501000143-1-000071/2024,32512501000143-1-000071/2024,32512501000143,MUNICIPIO DE VOLTA REDONDA,PREFEITURA MUNICIPAL DE VOLTA REDONDA-RJ,VOLTA REDONDA,RJ,3306305,Pregão - Eletrônico,54793517000104,MAX-FER TOOLS COMERCIAL LTDA,Desempenadeira,"DESEMPENADEIRA, APLICAÇÃO COLUNA VEÍCULO AUTOMOTIVO, TIPO HIDRÁULICO,ACABAMENTO SUPERFICIAL PINTADA, COMPONENTES CORRENTE TRASEIRA/DIANTEIRA FIXARHIDRÁULICO/CON-",Material,265602,265602,catmat,4.000000,Unidade,162.350000,649.400000,2-10,2024Q3,4,10.785000,0.975000,155.451282,mad_units,false,,https://repositorio.dados.gov.br/seges/comprasgov/anual/2024/comprasGOV-anual-VW_FT_PNCP_COMPRA_ITEM-2024.csv,https://repositorio.dados.gov.br/seges/comprasgov/anual/2024/comprasGOV-anual-VW_FT_PNCP_COMPRA-2024.csv,32512501000143-1-000071/2024,https://pncp.gov.br/app/editais/32512501000143-1-000071/2024
19,92685005901322024,9268500590132202400010,39563911000162-1-000160/2024,39563911000162-1-000160/2024,39563911000162,FUNDO MUNICIPAL DE SAUDE PMVR SMS,FUNDO MUNICIPAL DE SAÚDE DE VOLTA REDONDA-RJ,VOLTA REDONDA,RJ,3306305,Pregão - Eletrônico,,,Travoprosta,"Travoprosta Dosagem: 0,04 MG/ML, Apresentação: Solução Oftálmica",Material,268005,268005,catmat,18.000000,"Frasco 2,50 ML",106.730000,1921.140000,11-100,2024Q4,3,19.990000,0.670000,129.462687,mad_units,false,,https://repositorio.dados.gov.br/seges/comprasgov/anual/2024/comprasGOV-anual-VW_FT_PNCP_COMPRA_ITEM-2024.csv,https://repositorio.dados.gov.br/seges/comprasgov/anual/2024/comprasGOV-anual-VW_FT_PNCP_COMPRA-2024.csv,39563911000162-1-000160/2024,https://pncp.gov.br/app/editais/39563911000162-1-000160/2024
20,45006805900462024,4500680590046202400103,32512501000143-1-000042/2024,32512501000143-1-000042/2024,32512501000143,MUNICIPIO DE VOLTA REDONDA,PREFEITURA MUNICIPAL DE VOLTA REDONDA-RJ,VOLTA REDONDA,RJ,3306305,Pregão - Eletrônico,45194580000133,COMERCIAL TH4 LTDA,Envelope,"Envelope Material: Kraft , Modelo: Saco Comum , Tamanho (C X L): 450 X 370 MM, Cor: Parda , Gramatura: 110 G/M",Material,614636,614636,catmat,1500.000000,Centena,23.050000,34575.000000,1001+,2024Q4,5,0.560000,0.200000,112.450000,mad_units,false,,https://repositorio.dados.gov.br/seges/comprasgov/anual/2024/comprasGOV-anual-VW_FT_PNCP_COMPRA_ITEM-2024.csv,https://repositorio.dados.gov.br/seges/comprasgov/anual/2024/comprasGOV-anual-VW_FT_PNCP_COMPRA-2024.csv,32512501000143-1-000042/2024,https://pncp.gov.br/app/editais/32512501000143-1-000042/2024
21,92668705900812024,9266870590081202400043,32504706000187-1-000168/2024,32504706000187-1-000168/2024,32504706000187,SERVICO AUTONOMO DE AGUA E ESGOTO SAAE,SERVICO AUTON DE AGUA E ESG DE VOLTA REDONDA,VOLTA REDONDA,RJ,3306305,Pregão - Eletrônico,27253891000144,S.K FERNANDES AUTOMACAO INDUSTRIAL LTDA,Disjuntor média tensão,"Disjuntor Média Tensão Características Adicionais: Caixa Moldada , Capacidade Interrupção Simétrica: 25 KA, Aplicação: Instalação Elétrica , Classe Tensão: 380 V, Corrente Nominal: 80 A, Tipo: Tripolar",Material,616962,616962,catmat,2.000000,Unidade,6278.000000,12556.000000,2-10,2024Q4,40,97.000000,58.960000,104.833786,mad_units,false,,https://repositorio.dados.gov.br/seges/comprasgov/anual/2024/comprasGOV-anual-VW_FT_PNCP_COMPRA_ITEM-2024.csv,https://repositorio.dados.gov.br/seges/comprasgov/anual/2024/comprasGOV-anual-VW_FT_PNCP_COMPRA-2024.csv,32504706000187-1-000168/2024,https://pncp.gov.br/app/editais/32504706000187-1-000168/2024
22,92668705900642024,9266870590064202400017,32504706000187-1-000140/2024,32504706000187-1-000140/2024,32504706000187,SERVICO AUTONOMO DE AGUA E ESGOTO SAAE,SERVICO AUTON DE AGUA E ESG DE VOLTA REDONDA,VOLTA REDONDA,RJ,3306305,Pregão - Eletrônico,02954521000103,CERTILAB PRODUTOS E SERVICOS PARA LABORATORIO LTDA,Solução Padrão,"Solução Padrão Tipo: Conjunto Completo , Concentração: Até 7500 Ntu , Característica Adicional: Até 6 Padrões",Material,428426,428426,catmat,1.000000,Unidade,3193.000000,3193.000000,1,2024Q4,12,109.820000,31.150000,98.978491,mad_units,false,,https://repositorio.dados.gov.br/seges/comprasgov/anual/2024/comprasGOV-anual-VW_FT_PNCP_COMPRA_ITEM-2024.csv,https://repositorio.dados.gov.br/seges/comprasgov/anual/2024/comprasGOV-anual-VW_FT_PNCP_COMPRA-2024.csv,32504706000187-1-000140/2024,https://pncp.gov.br/app/editais/32504706000187-1-000140/2024
23,92685005901302024,9268500590130202400007,39563911000162-1-000161/2024,39563911000162-1-000161/2024,39563911000162,FUNDO MUNICIPAL DE SAUDE PMVR SMS,FUNDO MUNICIPAL DE SAÚDE DE VOLTA REDONDA-RJ,VOLTA REDONDA,RJ,3306305,Pregão - Eletrônico,,,Alprazolam,,Material,,,none,1080.000000,Comprimido,2.430000,2624.400000,1001+,2024Q4,4,0.110000,0.025000,92.800000,mad_units,false,,https://repositorio.dados.gov.br/seges/comprasgov/anual/2024/comprasGOV-anual-VW_FT_PNCP_COMPRA_ITEM-2024.csv,https://repositorio.dados.gov.br/seges/comprasgov/anual/2024/comprasGOV-anual-VW_FT_PNCP_COMPRA-2024.csv,39563911000162-1-000161/2024,https://pncp.gov.br/app/editais/39563911000162-1-000161/2024
24,92668705900642024,9266870590064202400020,32504706000187-1-000140/2024,32504706000187-1-000140/2024,32504706000187,SERVICO AUTONOMO DE AGUA E ESGOTO SAAE,SERVICO AUTON DE AGUA E ESG DE VOLTA REDONDA,VOLTA REDONDA,RJ,3306305,Pregão - Eletrônico,02954521000103,CERTILAB PRODUTOS E SERVICOS PARA LABORATORIO LTDA,Solução Padrão,"Solução Padrão Tipo: Conjunto Completo , Concentração: Até 7500 Ntu , Característica Adicional: Até 6 Padrões",Material,428426,428426,catmat,4.000000,Unidade,4971.000000,19884.000000,2-10,2024Q4,8,88.100000,56.475000,86.461266,mad_units,false,,https://repositorio.dados.gov.br/seges/comprasgov/anual/2024/comprasGOV-anual-VW_FT_PNCP_COMPRA_ITEM-2024.csv,https://repositorio.dados.gov.br/seges/comprasgov/anual/2024/comprasGOV-anual-VW_FT_PNCP_COMPRA-2024.csv,32504706000187-1-000140/2024,https://pncp.gov.br/app/editais/32504706000187-1-000140/2024
25,45006807000902024,4500680700090202400001,32512501000143-1-000210/2024,32512501000143-1-000210/2024,32512501000143,MUNICIPIO DE VOLTA REDONDA,PREFEITURA MUNICIPAL DE VOLTA REDONDA-RJ,VOLTA REDONDA,RJ,3306305,Inexigibilidade,17140820000343,BYD DO BRASIL LTDA.,Manutenção de veículos pesados Manutenção de veículos pesados,,Serviço,,,none,1.000000,UNIDADE,200000.000000,200000.000000,1,2024Q4,5,5700.000000,2250.000000,86.355556,mad_units,false,,https://repositorio.dados.gov.br/seges/comprasgov/anual/2024/comprasGOV-anual-VW_FT_PNCP_COMPRA_ITEM-2024.csv,https://repositorio.dados.gov.br/seges/comprasgov/anual/2024/comprasGOV-anual-VW_FT_PNCP_COMPRA-2024.csv,32512501000143-1-000210/2024,https://pncp.gov.br/app/editais/32512501000143-1-000210/2024
26,92668705900642024,9266870590064202400018,32504706000187-1-000140/2024,32504706000187-1-000140/2024,32504706000187,SERVICO AUTONOMO DE AGUA E ESGOTO SAAE,SERVICO AUTON DE AGUA E ESG DE VOLTA REDONDA,VOLTA REDONDA,RJ,3306305,Pregão - Eletrônico,02954521000103,CERTILAB PRODUTOS E SERVICOS PARA LABORATORIO LTDA,Solução Padrão,"Solução Padrão Tipo: Conjunto Completo , Concentração: Até 7500 Ntu , Característica Adicional: Até 6 Padrões",Material,428426,428426,catmat,1.000000,Unidade,2794.000000,2794.000000,1,2024Q4,12,109.820000,31.150000,86.169502,mad_units,false,,https://repositorio.dados.gov.br/seges/comprasgov/anual/2024/comprasGOV-anual-VW_FT_PNCP_COMPRA_ITEM-2024.csv,https://repositorio.dados.gov.br/seges/comprasgov/anual/2024/comprasGOV-anual-VW_FT_PNCP_COMPRA-2024.csv,32504706000187-1-000140/2024,https://pncp.gov.br/app/editais/32504706000187-1-000140/2024
27,92668705900742024,9266870590074202400001,32504706000187-1-000149/2024,32504706000187-1-000149/2024,32504706000187,SERVICO AUTONOMO DE AGUA E ESGOTO SAAE,SERVICO AUTON DE AGUA E ESG DE VOLTA REDONDA,VOLTA REDONDA,RJ,3306305,Pregão - Eletrônico,13684094000107,RIO D'OURO COMERCIO DE ALIMENTOS LTDA,Copo Descartável,"Copo Descartável Material: Plástico , Capacidade: 200 ML, Características Adicionais: Pacote 100 Unidades",Material,618310,618310,catmat,250.000000,Unidade,79.870000,19967.500000,101-1000,2024Q3,3,5.570000,0.880000,84.431818,mad_units,false,,https://repositorio.dados.gov.br/seges/comprasgov/anual/2024/comprasGOV-anual-VW_FT_PNCP_COMPRA_ITEM-2024.csv,https://repositorio.dados.gov.br/seges/comprasgov/anual/2024/comprasGOV-anual-VW_FT_PNCP_COMPRA-2024.csv,32504706000187-1-000149/2024,https://pncp.gov.br/app/editais/32504706000187-1-000149/2024
