rank,id_compra,id_compra_item,ID_contratacao_PNCP,numero_item,label,evidence_url,notes
24,92668705900642024,9266870590064202400020,32504706000187-1-000140/2024,20,spec difference,https://pncp.gov.br/app/editais/32504706000187/2024/140,PNCP confirms 4971.00 for Solucao Padrao. Same lab-standard vs cheap-reagent mix as rank 22. Source https://pncp.gov.br/api/pncp/v1/orgaos/32504706000187/compras/2024/140/itens/20
25,45006807000902024,4500680700090202400001,32512501000143-1-000210/2024,1,spec difference,https://pncp.gov.br/app/editais/32512501000143/2024/210,PNCP confirms 200000.00 UNIDADE for heavy-vehicle maintenance. Peer median 5700 is a smaller job in the same free-text service bucket. Source https://pncp.gov.br/api/pncp/v1/orgaos/32512501000143/compras/2024/210/itens/1
26,92668705900642024,9266870590064202400018,32504706000187-1-000140/2024,18,spec difference,https://pncp.gov.br/app/editais/32504706000187/2024/140,PNCP confirms 2794.00 for Solucao Padrao. Same lab-standard mix as rank 22. Source https://pncp.gov.br/api/pncp/v1/orgaos/32504706000187/compras/2024/140/itens/18
27,92668705900742024,9266870590074202400001,32504706000187-1-000149/2024,1,unit error,https://pncp.gov.br/app/editais/32504706000187/2024/149,"PNCP descricao detalhada says Pacote 100 Unidades; CSV unidade=Unidade at 79.87. Source is a 100-cup pack, not a single cup. Source https://pncp.gov.br/api/pncp/v1/orgaos/32504706000187/compras/2024/149/itens/1"
28,45006805900712024,4500680590071202400050,32512501000143-1-000102/2024,50,data error,https://pncp.gov.br/app/editais/32512501000143/2024/102,"PNCP situacao=Anulado/Revogado/Cancelado; no resultado. CSV 58.95 Pacote 10,00 UN Fita adesiva is estimate only. Source https://pncp.gov.br/api/pncp/v1/orgaos/32512501000143/compras/2024/102/itens/50"
29,92668706900452024,9266870690045202400001,32504706000187-1-000107/2024,1,data error,https://pncp.gov.br/app/editais/32504706000187/2024/107,PNCP situacao=Deserto; no resultado. CSV 6338.90 Servicos de plotagem is estimate only. Source https://pncp.gov.br/api/pncp/v1/orgaos/32504706000187/compras/2024/107/itens/1
30,92668707000332024,9266870700033202400004,32504706000187-1-000135/2024,4,spec difference,https://pncp.gov.br/app/editais/32504706000187/2024/135,PNCP confirms 474.85 for a gas detector with display. Peer median 43.97 is a simpler detector on the same description key. Source https://pncp.gov.br/api/pncp/v1/orgaos/32504706000187/compras/2024/135/itens/4
31,45006805900712024,4500680590071202400196,32512501000143-1-000102/2024,196,data error,https://pncp.gov.br/app/editais/32512501000143/2024/102,PNCP situacao=Anulado/Revogado/Cancelado; no resultado. CSV 148.99 Haste flexivel is estimate only. Source https://pncp.gov.br/api/pncp/v1/orgaos/32512501000143/compras/2024/102/itens/196
32,92668705900812024,9266870590081202400060,32504706000187-1-000168/2024,60,data error,https://pncp.gov.br/app/editais/32504706000187/2024/168,PNCP situacao=Fracassado; no resultado. CSV 4926.16 Disjuntor media tensao is estimate only. Source https://pncp.gov.br/api/pncp/v1/orgaos/32504706000187/compras/2024/168/itens/60
33,92685005900492024,9268500590049202400008,39563911000162-1-000050/2024,8,data error,https://pncp.gov.br/app/editais/39563911000162/2024/50,PNCP situacao=Fracassado; no resultado. CSV 0.77 Comprimido Metformina is estimate only. Source https://pncp.gov.br/api/pncp/v1/orgaos/39563911000162/compras/2024/50/itens/8
34,45006805901362024,4500680590136202400001,32512501000143-1-000223/2024,1,unit error,https://pncp.gov.br/app/editais/32512501000143/2024/223,"PNCP unidadeMedida=Copo 200,00 ML, homologado 26.00 for agua mineral. Peer median 1.02 is single-cup scale; 26.00 is a pack/case price. Source https://pncp.gov.br/api/pncp/v1/orgaos/32512501000143/compras/2024/223/itens/1"
35,45006805901362024,4500680590136202400002,32512501000143-1-000223/2024,2,unit error,https://pncp.gov.br/app/editais/32512501000143/2024/223,"PNCP unidadeMedida=Copo 200,00 ML, homologado 26.00. Same pack-vs-cup issue as rank 34. Source https://pncp.gov.br/api/pncp/v1/orgaos/32512501000143/compras/2024/223/itens/2"
36,45006805901392024,4500680590139202400002,32512501000143-1-000233/2024,2,spec difference,https://pncp.gov.br/app/editais/32512501000143/2024/233,PNCP confirms 100.00 for Locacao bens moveis. Peer median 4.00 is a different rental object in the same CATSER bucket. Source https://pncp.gov.br/api/pncp/v1/orgaos/32512501000143/compras/2024/233/itens/2
37,92685005900772024,9268500590077202400094,39563911000162-1-000102/2024,94,data error,https://pncp.gov.br/app/editais/39563911000162/2024/102,"PNCP situacao=Fracassado; no resultado. CSV 199.20 Frasco 10,00 ML Insulina is estimate only. Source https://pncp.gov.br/api/pncp/v1/orgaos/39563911000162/compras/2024/102/itens/94"
38,92668706900742024,9266870690074202400003,32504706000187-1-000192/2024,3,data error,https://pncp.gov.br/app/editais/32504706000187/2024/192,PNCP situacao=Deserto; no resultado. CSV 900.00 Letreiro Luminoso is estimate only (and below the peer median). Source https://pncp.gov.br/api/pncp/v1/orgaos/32504706000187/compras/2024/192/itens/3
39,45006805000672024,4500680500067202400001,32512501000143-1-000137/2024,1,spec difference,https://pncp.gov.br/app/editais/32512501000143/2024/137,PNCP confirms 349500.00 for Buffet. Peer median 9750 is a much smaller event in the same service bucket. Source https://pncp.gov.br/api/pncp/v1/orgaos/32512501000143/compras/2024/137/itens/1
40,92685005901352024,9268500590135202400098,39563911000162-1-000165/2024,98,data error,https://pncp.gov.br/app/editais/39563911000162/2024/165,"PNCP situacao=Anulado/Revogado/Cancelado; no resultado. CSV 10.83 Frasco 250,00 ML Manitol is estimate only. Source https://pncp.gov.br/api/pncp/v1/orgaos/39563911000162/compras/2024/165/itens/98"
41,92685005901352024,9268500590135202400104,39563911000162-1-000165/2024,104,data error,https://pncp.gov.br/app/editais/39563911000162/2024/165,PNCP situacao=Anulado/Revogado/Cancelado; no resultado. CSV 32.61 Frasco-Ampola Metilprednisolona is estimate only. Source https://pncp.gov.br/api/pncp/v1/orgaos/39563911000162/compras/2024/165/itens/104
42,92668705900812024,9266870590081202400040,32504706000187-1-000168/2024,40,spec difference,https://pncp.gov.br/app/editais/32504706000187/2024/168,PNCP confirms 2700.00 for Disjuntor media tensao. Same CATMAT 616962 mix as rank 15. Source https://pncp.gov.br/api/pncp/v1/orgaos/32504706000187/compras/2024/168/itens/40
43,45006805900772024,4500680590077202400098,32512501000143-1-000141/2024,98,real,https://pncp.gov.br/app/editais/32512501000143/2024/141,"PNCP confirms homologado 7.50 for sabao pasta desengraxante, 500 units. Same class as peers (median 5.37). Source matches CSV. Source https://pncp.gov.br/api/pncp/v1/orgaos/32512501000143/compras/2024/141/itens/98"
44,92685005901352024,9268500590135202400040,39563911000162-1-000165/2024,40,data error,https://pncp.gov.br/app/editais/39563911000162/2024/165,"PNCP situacao=Anulado/Revogado/Cancelado; no resultado. CSV 33.91 Frasco 100,00 ML Ciprofloxacino is estimate only. Source https://pncp.gov.br/api/pncp/v1/orgaos/39563911000162/compras/2024/165/itens/40"
45,92776105900412024,9277610590041202400004,29063294000182-1-000042/2024,4,data error,https://pncp.gov.br/app/editais/29063294000182/2024/42,PNCP homologado 22500.00 per PAGINA lot vs CSV unit_price 30000.00 (estimate). Quote: valorUnitarioHomologado 22500; CSV 30000. Source https://pncp.gov.br/api/pncp/v1/orgaos/29063294000182/compras/2024/42/itens/4
46,92685005901352024,9268500590135202400021,39563911000162-1-000165/2024,21,data error,https://pncp.gov.br/app/editais/39563911000162/2024/165,PNCP situacao=Anulado/Revogado/Cancelado; no resultado. CSV 38.75 Frasco-Ampola Amoxicilina is estimate only. Source https://pncp.gov.br/api/pncp/v1/orgaos/39563911000162/compras/2024/165/itens/21
47,92776105900712024,9277610590071202400013,29063294000182-1-000131/2024,13,data error,https://pncp.gov.br/app/editais/29063294000182/2024/131,"PNCP situacao=Fracassado; no resultado. CSV 18.52 Frasco 200,00 DOSE Salbutamol is estimate only. Source https://pncp.gov.br/api/pncp/v1/orgaos/29063294000182/compras/2024/131/itens/13"
48,92685005901352024,9268500590135202400084,39563911000162-1-000165/2024,84,data error,https://pncp.gov.br/app/editais/39563911000162/2024/165,"PNCP situacao=Anulado/Revogado/Cancelado; no resultado. CSV 15.24 Ampola 5,00 ML Flumazenil is estimate only. Source https://pncp.gov.br/api/pncp/v1/orgaos/39563911000162/compras/2024/165/itens/84"
49,92685005900532024,9268500590053202400001,39563911000162-1-000057/2024,1,spec difference,https://pncp.gov.br/app/editais/39563911000162/2024/57,PNCP homologado 5.83 (CSV 4.89 estimate/result mix) for monofocal resin lenses +/-0.25 to 2.00. Peer median 24.99 is a different diopter/material class. Source https://pncp.gov.br/api/pncp/v1/orgaos/39563911000162/compras/2024/57/itens/1
50,45006805901262024,4500680590126202400008,32512501000143-1-000190/2024,8,real,https://pncp.gov.br/app/editais/32512501000143/2024/190,PNCP confirms homologado 359.00 for urna mortuaria MDF. Peers median 550. Same product class; source matches CSV. Source https://pncp.gov.br/api/pncp/v1/orgaos/32512501000143/compras/2024/190/itens/8
51,45006805900442024,4500680590044202400039,32512501000143-1-000071/2024,39,spec difference,https://pncp.gov.br/app/editais/32512501000143/2024/71,PNCP confirms 172.50 / L for silver alkyd enamel. Peer median 70.90 on CATMAT 616756 is a different finish/color class. Source https://pncp.gov.br/api/pncp/v1/orgaos/32512501000143/compras/2024/71/itens/39
52,92685005900842024,9268500590084202400007,39563911000162-1-000095/2024,7,spec difference,https://pncp.gov.br/app/editais/39563911000162/2024/95,PNCP homologado 1378.00 (CSV 1512.45). Esfigmomanometro without a catalog code; peer median 107.80 is a basic aneroid vs hospital model. Source https://pncp.gov.br/api/pncp/v1/orgaos/39563911000162/compras/2024/95/itens/7
53,92685005901352024,9268500590135202400012,39563911000162-1-000165/2024,12,data error,https://pncp.gov.br/app/editais/39563911000162/2024/165,"PNCP situacao=Anulado/Revogado/Cancelado; no resultado. CSV 10.89 Ampola 2,00 ML Adenosina is estimate only. Source https://pncp.gov.br/api/pncp/v1/orgaos/39563911000162/compras/2024/165/itens/12"
54,45006803900132024,4500680390013202400001,32512501000143-1-000111/2024,1,spec difference,https://pncp.gov.br/app/editais/32512501000143/2024/111,PNCP confirms 4877534.13 UN for manutencao/reforma predial. Peer median 163900 is a smaller job in the same service bucket. Source https://pncp.gov.br/api/pncp/v1/orgaos/32512501000143/compras/2024/111/itens/1
55,92668703900132024,9266870390013202400001,32504706000187-1-000204/2024,1,spec difference,https://pncp.gov.br/app/editais/32504706000187/2024/204,PNCP confirms 1589200.00 UN for obras de saneamento (captacao/aducao). Peer median 122508 is a smaller works package. Source https://pncp.gov.br/api/pncp/v1/orgaos/32504706000187/compras/2024/204/itens/1
56,45006807000362024,4500680700036202400001,32512501000143-1-000053/2024,1,spec difference,https://pncp.gov.br/app/editais/32512501000143/2024/53,PNCP confirms 54000.00 UNIDADE for apresentacao artistica/musical. Peer median 1530 is a smaller performance in the same CATSER bucket. Source https://pncp.gov.br/api/pncp/v1/orgaos/32512501000143/compras/2024/53/itens/1
57,92776107000532024,9277610700053202400001,29063294000182-1-000050/2024,1,spec difference,https://pncp.gov.br/app/editais/29063294000182/2024/50,PNCP confirms 12064.00 for manutencao de equipamento medico. Peer median 388.59 is a smaller repair job in the same service bucket. Source https://pncp.gov.br/api/pncp/v1/orgaos/29063294000182/compras/2024/50/itens/1
58,92685005900782024,9268500590078202400042,39563911000162-1-000094/2024,42,real,https://pncp.gov.br/app/editais/39563911000162/2024/94,PNCP confirms homologado 60.90 for lima endodontica NiTi R50. Peers median 76.49 on CATMAT 608102. Source matches CSV. Source https://pncp.gov.br/api/pncp/v1/orgaos/39563911000162/compras/2024/94/itens/42
59,45006805900452024,4500680590045202400004,32512501000143-1-000050/2024,4,real,https://pncp.gov.br/app/editais/32512501000143/2024/50,PNCP confirms homologado 9.98 for 20L autoclave polypropylene bucket. Peers median 7.28. Source matches CSV. Source https://pncp.gov.br/api/pncp/v1/orgaos/32512501000143/compras/2024/50/itens/4
60,92668705900642024,9266870590064202400008,32504706000187-1-000140/2024,8,spec difference,https://pncp.gov.br/app/editais/32504706000187/2024/140,PNCP confirms 1153.00 for Solucao Padrao. Same lab-standard mix as rank 22. Source https://pncp.gov.br/api/pncp/v1/orgaos/32504706000187/compras/2024/140/itens/8
61,92668705900642024,9266870590064202400019,32504706000187-1-000140/2024,19,spec difference,https://pncp.gov.br/app/editais/32504706000187/2024/140,PNCP confirms 1144.00 for Solucao Padrao. Same lab-standard mix as rank 22. Source https://pncp.gov.br/api/pncp/v1/orgaos/32504706000187/compras/2024/140/itens/19
62,92685005901352024,9268500590135202400056,39563911000162-1-000165/2024,56,data error,https://pncp.gov.br/app/editais/39563911000162/2024/165,"PNCP situacao=Anulado/Revogado/Cancelado; no resultado. CSV 21.02 Frasco 100,00 ML Clorexidina is estimate only. Source https://pncp.gov.br/api/pncp/v1/orgaos/39563911000162/compras/2024/165/itens/56"
63,92685005901352024,9268500590135202400060,39563911000162-1-000165/2024,60,data error,https://pncp.gov.br/app/editais/39563911000162/2024/165,PNCP situacao=Anulado/Revogado/Cancelado; no resultado. CSV 332.32 Frasco-Ampola Daptomicina is estimate only. Source https://pncp.gov.br/api/pncp/v1/orgaos/39563911000162/compras/2024/165/itens/60
64,92685005901352024,9268500590135202400034,39563911000162-1-000165/2024,34,data error,https://pncp.gov.br/app/editais/39563911000162/2024/165,"PNCP situacao=Anulado/Revogado/Cancelado; no resultado. CSV 3.38 Ampola 2,00 ML Bromoprida is estimate only. Source https://pncp.gov.br/api/pncp/v1/orgaos/39563911000162/compras/2024/165/itens/34"
65,92668705900812024,9266870590081202400041,32504706000187-1-000168/2024,41,spec difference,https://pncp.gov.br/app/editais/32504706000187/2024/168,PNCP confirms 2000.00 for Disjuntor media tensao. Same CATMAT 616962 mix as rank 15. Source https://pncp.gov.br/api/pncp/v1/orgaos/32504706000187/compras/2024/168/itens/41
66,92685005900652024,9268500590065202400161,39563911000162-1-000140/2024,161,data error,https://pncp.gov.br/app/editais/39563911000162/2024/140,PNCP homologado 62.00 vs CSV unit_price 106.52 (estimate). Lampada LED item  ; quote valorUnitarioHomologado 62. Source https://pncp.gov.br/api/pncp/v1/orgaos/39563911000162/compras/2024/140/itens/161
67,92685005901352024,9268500590135202400100,39563911000162-1-000165/2024,100,data error,https://pncp.gov.br/app/editais/39563911000162/2024/165,PNCP situacao=Anulado/Revogado/Cancelado; no resultado. CSV 31.19 Frasco-Ampola Meropenem is estimate only. Source https://pncp.gov.br/api/pncp/v1/orgaos/39563911000162/compras/2024/165/itens/100
68,45006805900712024,4500680590071202400182,32512501000143-1-000102/2024,182,data error,https://pncp.gov.br/app/editais/32512501000143/2024/102,PNCP situacao=Anulado/Revogado/Cancelado; no resultado. CSV 37.64 Folha cortica is estimate only. Source https://pncp.gov.br/api/pncp/v1/orgaos/32512501000143/compras/2024/102/itens/182
69,92776105900832024,9277610590083202400001,29063294000182-1-000145/2024,1,data error,https://pncp.gov.br/app/editais/29063294000182/2024/145,"PNCP situacao=Fracassado; no resultado. CSV 11.08 Ampola 2,00 ML Petidina is estimate only. Source https://pncp.gov.br/api/pncp/v1/orgaos/29063294000182/compras/2024/145/itens/1"
70,92685005901352024,9268500590135202400078,39563911000162-1-000165/2024,78,data error,https://pncp.gov.br/app/editais/39563911000162/2024/165,"PNCP situacao=Anulado/Revogado/Cancelado; no resultado. CSV 19.57 Ampola 10,00 ML Etomidato is estimate only. Source https://pncp.gov.br/api/pncp/v1/orgaos/39563911000162/compras/2024/165/itens/78"
71,92685005901352024,9268500590135202400117,39563911000162-1-000165/2024,117,data error,https://pncp.gov.br/app/editais/39563911000162/2024/165,PNCP situacao=Anulado/Revogado/Cancelado; no resultado. CSV 29.94 Frasco-Ampola Omeprazol is estimate only. Source https://pncp.gov.br/api/pncp/v1/orgaos/39563911000162/compras/2024/165/itens/117
72,92685005901352024,9268500590135202400063,39563911000162-1-000165/2024,63,data error,https://pncp.gov.br/app/editais/39563911000162/2024/165,"PNCP situacao=Anulado/Revogado/Cancelado; no resultado. CSV 19.40 Ampola 2,00 ML Dexmedetomidina is estimate only. Source https://pncp.gov.br/api/pncp/v1/orgaos/39563911000162/compras/2024/165/itens/63"
73,92668705900722024,9266870590072202400016,32504706000187-1-000141/2024,16,data error,https://pncp.gov.br/app/editais/32504706000187/2024/141,PNCP situacao=Fracassado; no resultado. CSV 159.60 Martelete is estimate only. Source https://pncp.gov.br/api/pncp/v1/orgaos/32504706000187/compras/2024/141/itens/16
74,92685005901302024,9268500590130202400008,39563911000162-1-000161/2024,8,data error,https://pncp.gov.br/app/editais/39563911000162/2024/161,PNCP situacao=Fracassado; no resultado. CSV 0.77 Comprimido Metformina is estimate only. Source https://pncp.gov.br/api/pncp/v1/orgaos/39563911000162/compras/2024/161/itens/8
75,92668705900812024,9266870590081202400039,32504706000187-1-000168/2024,39,spec difference,https://pncp.gov.br/app/editais/32504706000187/2024/168,PNCP confirms 1600.00 for Disjuntor media tensao. Same CATMAT 616962 mix as rank 15. Source https://pncp.gov.br/api/pncp/v1/orgaos/32504706000187/compras/2024/168/itens/39
76,92776105900962024,9277610590096202400022,29063294000182-1-000173/2024,22,spec difference,https://pncp.gov.br/app/editais/29063294000182/2024/173,PNCP confirms 142.89 for Cateter central. Peer median 13.42 is a simple catheter on the same description key. Source https://pncp.gov.br/api/pncp/v1/orgaos/29063294000182/compras/2024/173/itens/22
77,92668705900842024,9266870590084202400002,32504706000187-1-000164/2024,2,data error,https://pncp.gov.br/app/editais/32504706000187/2024/164,PNCP situacao=Fracassado; no resultado. CSV 545.13 Eletrodo Medicao Ph is estimate only. Source https://pncp.gov.br/api/pncp/v1/orgaos/32504706000187/compras/2024/164/itens/2
78,92685005901352024,9268500590135202400044,39563911000162-1-000165/2024,44,data error,https://pncp.gov.br/app/editais/39563911000162/2024/165,"PNCP situacao=Anulado/Revogado/Cancelado; no resultado. CSV 10.78 Ampola 4,00 ML Clindamicina is estimate only. Source https://pncp.gov.br/api/pncp/v1/orgaos/39563911000162/compras/2024/165/itens/44"
79,45006805900712024,4500680590071202400052,32512501000143-1-000102/2024,52,data error,https://pncp.gov.br/app/editais/32512501000143/2024/102,PNCP situacao=Anulado/Revogado/Cancelado; no resultado. CSV 11.64 Fita adesiva is estimate only. Source https://pncp.gov.br/api/pncp/v1/orgaos/32512501000143/compras/2024/102/itens/52
80,92685005901352024,9268500590135202400110,39563911000162-1-000165/2024,110,data error,https://pncp.gov.br/app/editais/39563911000162/2024/165,PNCP situacao=Anulado/Revogado/Cancelado; no resultado. CSV 1.23 Comprimido Morfina is estimate only. Source https://pncp.gov.br/api/pncp/v1/orgaos/39563911000162/compras/2024/165/itens/110
81,92685005900772024,9268500590077202400177,39563911000162-1-000102/2024,177,data error,https://pncp.gov.br/app/editais/39563911000162/2024/102,PNCP situacao=Fracassado; no resultado. CSV 83.42 Embalagem 60 doses Salmeterol is estimate only. Source https://pncp.gov.br/api/pncp/v1/orgaos/39563911000162/compras/2024/102/itens/177
82,92685005901352024,9268500590135202400136,39563911000162-1-000165/2024,136,data error,https://pncp.gov.br/app/editais/39563911000162/2024/165,"PNCP situacao=Anulado/Revogado/Cancelado; no resultado. CSV 141.81 Ampola 2,00 ML Sugamadex is estimate only. Source https://pncp.gov.br/api/pncp/v1/orgaos/39563911000162/compras/2024/165/itens/136"
83,45006805901042024,4500680590104202400074,32512501000143-1-000212/2024,74,real,https://pncp.gov.br/app/editais/32512501000143/2024/212,PNCP confirms homologado 4.06 per Par for nitrilic rubber glove CA 32038. Peers median 1.74 on CATMAT 614948. Source matches CSV. Source https://pncp.gov.br/api/pncp/v1/orgaos/32512501000143/compras/2024/212/itens/74
