rank,id_compra,id_compra_item,score,score_kind,median,mad,peer_n,peer_key,catalog_code,catalog_match
59,98621905933512024,9862190593351202400004,6.021464435146443514644351464,mad_units,70.04,4.78,7,catmat:446500,446500,catmat
60,98621905933512024,9862190593351202400006,6.021464435146443514644351464,mad_units,70.04,4.78,7,catmat:446500,446500,catmat
61,98621905904112024,9862190590411202400001,6,mad_units,5.6,0.3,3,catmat:467577,467577,catmat
62,98621905934612024,9862190593461202400007,5.950108459869848156182212581,mad_units,56.6,9.22,27,catmat:485503,485503,catmat
63,98621905937202024,9862190593720202400003,5.930900621118012422360248447,mad_units,13.68,6.44,3,desc:adocante,,none
64,93009805930392024,9300980593039202400017,5.888888888888888888888888889,mad_units,3.57,0.90,7,catmat:472084,472084,catmat
65,98621905905102024,9862190590510202400001,5.8,mad_units,13.5,0.6,3,catmat:464559,464559,catmat
66,98621905933512024,9862190593351202400005,5.764288702928870292887029289,mad_units,70.04,4.78,7,catmat:446500,446500,catmat
67,98621905904492024,9862190590449202400004,5.492537313432835820895522388,mad_units,5.17,0.67,3,catmat:464585,464585,catmat
68,98621905903692024,9862190590369202400002,5.475884244372990353697749196,mad_units,3.575,1.555,4,catmat:617795,617795,catmat
69,98621905984462024,9862190598446202400011,5.057142857142857142857142857,mad_units,3.975,0.175,4,catmat:464393,464393,catmat
70,93009805930352024,9300980593035202400009,5.013690207812435955240398410,mad_units,2566.35,1219.85,8,catmat:324309,324309,catmat
71,98621905934902024,9862190593490202400001,4.983333333333333333333333333,mad_units,0.89,0.30,3,catmat:616010,616010,catmat
72,98621905902792024,9862190590279202400001,4.829090909090909090909090909,mad_units,10.02,1.375,4,desc:leguminosa,,none
73,98621905933812024,9862190593381202400008,4.666666666666666666666666667,mad_units,300.0,150.0,7,catser:5428,5428,catser
74,98621905935132024,9862190593513202400009,4.658536585365853658536585366,mad_units,1.215,0.205,4,catmat:616016,616016,catmat
75,98621905905132024,9862190590513202400022,4.6,mad_units,0.45,0.05,3,catmat:486374,486374,catmat
76,98621905985142024,9862190598514202400015,4.571428571428571428571428571,mad_units,0.42,0.105,4,catmat:389551,389551,catmat
77,98621905903812024,9862190590381202400001,4.539559014267185473411154345,mad_units,200.0,77.1,3,catmat:608435,608435,catmat
78,98621905932872024,9862190593287202400001,4.482191780821917808219178082,mad_units,6760.0,2190.0,11,catmat:616968,616968,catmat
79,93009805930352024,9300980593035202400005,4.465826944140197152245345016,mad_units,2566.35,1369.50,12,catmat:324309,324309,catmat
80,93009805930392024,9300980593039202400007,4.458823529411764705882352941,mad_units,1.885,0.425,6,catmat:472084,472084,catmat
81,98621906934502024,9862190693450202400014,4.445385266723116003386960203,mad_units,10.4906,0.3543,3,catmat:403990,403990,catmat
82,93009805930532024,9300980593053202400003,4.424778761061946902654867257,mad_units,192.99,25.99,5,catser:17965,17965,catser
83,98621905903692024,9862190590369202400003,4.347826086956521739130434783,price_over_median,5.75,0,3,catmat:240574,240574,catmat
84,93009805930562024,9300980593056202400002,4.258349328214971209213051823,mad_units,5.85475,0.13025,10,catmat:461506,461506,catmat
85,93009805930372024,9300980593037202400011,4.174603174603174603174603175,mad_units,1940.0,1260.0,4,catmat:603425,603425,catmat
86,98621905932482024,9862190593248202400004,4.142857142857142857142857143,mad_units,395.0,70.0,4,catser:2020,2020,catser
87,98621905934482024,9862190593448202400014,4.127023661270236612702366127,mad_units,0.1163,0.0803,23,catmat:619249,619249,catmat
88,93009805930532024,9300980593053202400004,4.078947368421052631578947368,mad_units,229.99,38.00,13,catser:17965,17965,catser
89,98621905904352024,9862190590435202400006,3.976190476190476190476190476,mad_units,1.225,0.210,6,catmat:401623,401623,catmat
90,98621905934612024,9862190593461202400020,3.943152454780361757105943152,mad_units,0.1825,0.09675,18,catmat:485503,485503,catmat
91,98621905934612024,9862190593461202400018,3.901808785529715762273901809,mad_units,0.1825,0.09675,18,catmat:485503,485503,catmat
92,98621905936632024,9862190593663202400003,3.887468144044321329639889197,mad_units,545.1,451.25,5,desc:testes psicologicos,,none
93,98621905935052024,9862190593505202400002,3.794628913459518090078425360,mad_units,838.94,70.4364,3,desc:caneta baixa rotacao,,none
94,98621905904352024,9862190590435202400005,3.738095238095238095238095238,mad_units,1.225,0.210,6,catmat:401623,401623,catmat
95,98621905934612024,9862190593461202400015,3.398638894617446896267271602,mad_units,0.265,0.24245,10,catmat:485503,485503,catmat
96,98621905934222024,9862190593422202400015,3.255192169968966340415373598,mad_units,3.1718,0.20945,6,catmat:267769,267769,catmat
97,93009805930532024,9300980593053202400006,3.207920792079207920792079208,mad_units,114.99,101.00,9,catmat:217876,217876,catmat
98,98621905983412024,9862190598341202400013,3.2,mad_units,290.0,150.0,5,catmat:605953,605953,catmat
99,98621905982992024,9862190598299202400004,3.125,mad_units,400.0,8.0,3,catmat:482597,482597,catmat
100,98621905932062024,9862190593206202400009,3.105227882037533512064343164,mad_units,131.33,14.92,4,desc:peca equipamento medico,,none
