rank,id_compra,id_compra_item,score,score_kind,median,mad,peer_n,peer_key,catalog_code,catalog_match
60,93009805930352024,9300980593035202400005,4.465826944140197152245345016,mad_units,2566.35,1369.50,12,catmat:324309,324309,catmat
61,93009805930392024,9300980593039202400007,4.458823529411764705882352941,mad_units,1.885,0.425,6,catmat:472084,472084,catmat
62,98621906934502024,9862190693450202400014,4.445385266723116003386960203,mad_units,10.4906,0.3543,3,catmat:403990,403990,catmat
63,93009805930532024,9300980593053202400003,4.424778761061946902654867257,mad_units,192.99,25.99,5,catser:17965,17965,catser
64,98621905903692024,9862190590369202400003,4.347826086956521739130434783,price_over_median,5.75,0,3,catmat:240574,240574,catmat
65,93009805930562024,9300980593056202400002,4.258349328214971209213051823,mad_units,5.85475,0.13025,10,catmat:461506,461506,catmat
66,93009805930372024,9300980593037202400011,4.174603174603174603174603175,mad_units,1940.0,1260.0,4,catmat:603425,603425,catmat
67,98621905932482024,9862190593248202400004,4.142857142857142857142857143,mad_units,395.0,70.0,4,catser:2020,2020,catser
68,93009805930532024,9300980593053202400004,4.078947368421052631578947368,mad_units,229.99,38.00,13,catser:17965,17965,catser
69,98621905985302024,9862190598530202400002,4,mad_units,0.03,0.005,10,catser:3417,3417,catser
70,98621905985302024,9862190598530202400004,4,mad_units,0.03,0.005,10,catser:3417,3417,catser
71,98621905985302024,9862190598530202400005,4,mad_units,0.03,0.005,10,catser:3417,3417,catser
72,98621905904352024,9862190590435202400006,3.976190476190476190476190476,mad_units,1.225,0.210,6,catmat:401623,401623,catmat
73,98621905935052024,9862190593505202400002,3.794628913459518090078425360,mad_units,838.94,70.4364,3,desc:caneta baixa rotacao,,none
74,98621905904352024,9862190590435202400005,3.738095238095238095238095238,mad_units,1.225,0.210,6,catmat:401623,401623,catmat
75,98621905904352024,9862190590435202400024,3.654761904761904761904761905,mad_units,4.03,0.84,6,catmat:607301,607301,catmat
76,98621905934482024,9862190593448202400014,3.587186629526462395543175487,mad_units,0.12575,0.08975,22,catmat:619249,619249,catmat
77,98621905935802024,9862190593580202400016,3.266666666666666666666666667,mad_units,30.0,3.0,3,catmat:621033,621033,catmat
78,98621905934222024,9862190593422202400015,3.255192169968966340415373598,mad_units,3.1718,0.20945,6,catmat:267769,267769,catmat
79,98621905983412024,9862190598341202400013,3.2,mad_units,290.0,150.0,5,catmat:605953,605953,catmat
80,98621905932062024,9862190593206202400009,3.105227882037533512064343164,mad_units,131.33,14.92,4,desc:peca equipamento medico,,none
81,98621905935972024,9862190593597202400025,3.097560975609756097560975610,mad_units,28.655,0.205,4,catmat:405541,405541,catmat
82,93009805930392024,9300980593039202400003,3.070588235294117647058823529,mad_units,1.885,0.425,6,catmat:472084,472084,catmat
83,93009805930532024,9300980593053202400020,3.026315789473684210526315789,mad_units,229.99,38.00,13,catser:17965,17965,catser
84,93009805930642024,9300980593064202400018,2.928033930770283212477767136,mad_units,85.99,73.09,3,desc:termometro,,none
85,93009805930252024,9300980593025202400123,2.913043478260869565217391304,mad_units,57.2,2.3,6,catmat:472601,472601,catmat
86,98621905981502024,9862190598150202400005,2.875989445910290237467018470,price_over_median,37.9,0,4,catmat:460771,460771,catmat
87,93009805930252024,9300980593025202400127,2.869565217391304347826086957,mad_units,57.2,2.3,6,catmat:472601,472601,catmat
88,93009805930532024,9300980593053202400010,2.763157894736842105263157895,mad_units,229.99,38.00,13,catser:17965,17965,catser
89,93009805930532024,9300980593053202400027,2.763157894736842105263157895,mad_units,229.99,38.00,13,catser:17965,17965,catser
90,98621905935132024,9862190593513202400007,2.746666666666666666666666667,price_over_median,0.06,0,3,catmat:434965,434965,catmat
91,93009805930272024,9300980593027202400001,2.746268656716417910447761194,mad_units,17.6,6.7,3,catmat:470832,470832,catmat
92,98621905983142024,9862190598314202400001,2.745247148288973384030418251,mad_units,24.9,13.15,7,catmat:334970,334970,catmat
93,98621905934202024,9862190593420202400003,2.696740153277871151082167988,mad_units,107999.5,106799.5,4,catser:22888,22888,catser
94,93009805930252024,9300980593025202400100,2.666666666666666666666666667,price_over_median,6.45,0,3,catmat:319618,319618,catmat
95,98621905934712024,9862190593471202400010,2.5,mad_units,0.52,0.02,5,catmat:272412,272412,catmat
96,98621905985142024,9862190598514202400032,2.5,mad_units,19.0,4.0,7,catmat:290095,290095,catmat
97,93009805930392024,9300980593039202400001,2.441860465116279069767441860,mad_units,2.01,0.86,6,catmat:472084,472084,catmat
98,98621905934522024,9862190593452202400011,2.422907488986784140969162996,mad_units,0.0755,0.0227,3,catmat:473701,473701,catmat
99,93009805930532024,9300980593053202400008,2.388888888888888888888888889,mad_units,60.49,45.00,8,catmat:217876,217876,catmat
100,98621905985142024,9862190598514202400070,2.353333333333333333333333333,mad_units,3.435,0.750,4,catmat:610461,610461,catmat
