idCompra;idCompraItem;idContratacaoPNCP;orgaoEntidadeCnpj;descricaoResumida;descricaodetalhada;materialOuServico;codItemCatalogo;unidadeMedida;quantidade;valorUnitarioEstimado;valorTotal;valorUnitarioResultado;valorTotalResultado;quantidadeResultado;codFornecedor;nomeFornecedor;dataInclusaoPncp;dataAtualizacaoPncp;dataResultado
98000507000382024;9800050700038202400001;04092672000125-1-000139/2024;04092672000125;Assinatura de banco de imagens com acesso 0n-line Assinatura de banco de imagens com acesso 0n-line;Assinatura de banco de imagens com acesso 0n-line Assinatura de banco de imagens com acesso 0n-line;S;30130.0;UNIDADE;1.0;38540.0;38540.0;38540.0;38540.0;1.0;07797967000195;NP TECNOLOGIA E GESTAO DE DADOS LTDA;2024-10-18 09:52:16;2024-10-18 10:32:53;
98177905900052024;9817790590005202400001;08170862000174-1-000034/2024;08170862000174;Automóvel;Automóvel Tipo Motor: 1.8 L, Quantidade Portas: 4 UN, Tipo Combustível: Bi-Combustível , Potência: Mínima De 115 CV, Modelo: Sedan , Opcionais: Air Bag/Ar Condicionado/Direção Hidráulica/Farol , Cor: Branca , Tipo Cor: Sólido , Características Adicionais:  Equipamentos De Segurança Exigidos Pelo Contran;M;430273.0;Unidade  ;1.0;79065.33;79065.33;78500.0;78500.0;1.0;56776401000192;CAPITAL NEGOCIOS LTDA;2024-09-20 07:07:18;2024-10-15 09:58:02;
98010705900062024;9801070590006202400002;04012548000102-1-000033/2024;04012548000102;Grade niveladora;GRADE NIVELADORA, QUANTIDADE DISCOS MÍNIMO 28 UN, LARGURA CORTEAPROXIMADAMENTE 1750 MM, PROFUNDIDADE CORTE 150 A 180 MM, CARACTERÍSTICASADICIONAIS CONTROLE REMOTO E RODAS ACIONADAS POR PISTÃO HIDR Á, POTÊNCIAMÍNIMA REQUERIDA TRATOR 75 HP, TIPO ENGATE ARRASTO, ESTRUTURA VIGAS TUBULARES,DIAMETRO DISCO MÍNIMO 20 POL, ESPAÇAMENTO APROXIMADAMENTE 235 MM;M;463162.0;Unidade ;1.0;69000.0;69000.0;26784.45;26784.45;1.0;04576614000177;M A M VIDAL LTDA;2024-07-19 07:14:02;2024-09-13 15:06:48;
98061505000722024;9806150500072202400001;23066640000108-1-000002/2024;23066640000108;Prestação de serviços bancários;Prestação de serviços bancários;S;;  UN;1.0;1.0;1.0;1.0;1.0;1.0;90400888000142;BANCO SANTANDER (BRASIL) S.A.;2024-11-08 14:01:11;2024-12-04 16:33:47;
98003605000172024;9800360500017202400001;01613031000180-1-000001/2024;01613031000180;Ambulância;Ambulância Tipo: Furgão, Capacidade Mínima Carga: 1.400KG, Cor: Branca, Formato Sinalizador: Barra, Estrutura Sinalizador: Aço Extrudado, Tipo Sinalizador: Led Com Lentes Vermelhas, Combustível: Diesel, Quantidade Portas: 2 Frontais 1 Lateral Deslizante 2 Traseiras Folha, Potência: 130CV, Tipo Cambio: Mecânico, Cilindrada: 1950CC, Quantidade Marchas Transmissão A Frente: 5UN, Ano Fabricação/Ano Modelo: 0 Km;M;621643.0;Unidade  ;3.0;325799.83;977399.5;324000.0;972000.0;3.0;03093776000191;MANUPA COMERCIO EXPORTACAO IMPORTACAO DE EQUIPAMENTOS E VEICULOS ADAPTADOS LTDA;2024-10-31 13:53:46;2024-11-28 11:57:04;
98769105902362024;9876910590236202400012;76282656000106-1-000691/2024;76282656000106;Enalapril maleato;Enalapril Maleato Dosagem: 20 MG;M;267652.0;Comprimido;2505672.0;0.08;200453.76;0.045;112755.24;2505672.0;00802002000102;ALTERMED MATERIAL MEDICO HOSPITALAR LTDA;2024-10-08 07:06:49;2024-12-09 11:28:32;
98718307000922024;9871830700092202400001;45176005000108-1-000706/2024;45176005000108;Mapeamento Cerebral com Eletroencefalograma AQUISIÇÃO DE ELETRODOS PARA ELETROENCEFALOGRAMA.;Mapeamento Cerebral com Eletroencefalograma AQUISIÇÃO DE ELETRODOS PARA ELETROENCEFALOGRAMA.;S;7021.0;UNIDADE;1.0;8250.0;8250.0;8250.0;8250.0;1.0;07729919000160;ICELERA INDUSTRIA E COMERCIO DE EQUIPAMENTOS MEDICOS LTDA;2024-09-10 15:00:47;2024-09-10 15:03:48;
98749305901012024;9874930590101202400001;76208867000107-1-000325/2024;76208867000107;Motocicleta;MOTOCICLETA, TIPO MOTOR 4 TEMPOS, POTÊNCIA MÍNIMO 120 CC E 12,5 CV, CAIXAMUDANÇA 5 VELOCIDADES, ACIONAMENTO ELÉTRICO, COMBUSTÍVEL GASOLINA, CAPACIDADETANQUE MÍNIMO DE 10 L L, COR BRANCA, ANO FABRICAÇÃO CORRENTE, CARACTERÍSTICASADICIONAIS NACIONAL, MÍNIMO 1 ANO GARANTIA, IGNIÇÃO ELETRÔNI C;M;318890.0;Unidade  ;3.0;65503.86;196511.58;65370.0;196110.0;3.0;01042740000153;ALESSANDRO VIANA DE FREITAS  LTDA;2024-11-05 07:25:08;2024-11-29 08:22:26;
98473306000622024;9847330600062202400001;18338178000102-1-000200/2024;18338178000102;Pembrolizumabe concentração: 25, forma farmacêutica: solução injetável Keytruda 100mg/4ml solução injetável frasco de vidro incolor x 4 ml;Pembrolizumabe concentração: 25, forma farmacêutica: solução injetável;M;440269.0;Frasco 4 ML;10.0;16021.4;160214.0;16021.4;160214.0;10.0;04307650001298;ONCO PROD DISTRIBUIDORA DE PRODUTOS HOSPITALARES E ONCOLOGICOS LTDA.;2024-09-13 14:21:10;2024-09-13 14:24:11;
98756306002412024;9875630600241202400001;76206606000140-1-000362/2024;76206606000140;Fermento tipo: biológico seco, apresentação: pó granulado;Fermento tipo: biológico seco, apresentação: pó granulado;M;459596.0;Embalagem 125 G;5000.0;16.47;82350.0;16.47;41175.0;2500.0;12401554000180;F X C COMERCIO DE ALIMENTOS LTDA;2024-09-10 09:39:31;2024-09-10 09:42:32;
98884105901042024;9888410590104202400002;88488366000100-1-000435/2024;88488366000100;Risperidona;Risperidona Dosagem: 1 MG;M;272839.0;Comprimido;200000.0;0.154;30800.0;0.141;28182.0;200000.0;48885640000152;F R DISTRIBUIDORA DE MEDICAMENTOS LTDA;2024-10-15 07:06:03;2024-11-06 15:59:03;
98486503900302024;9848650390030202400001;22678874000135-1-000430/2024;22678874000135;Manutenção / Reforma - Instalação Prevenção Combate Incêndio;Manutenção / Reforma - Instalação Prevenção Combate Incêndio;S;21822.0;UNIDADE;1.0;441081.78;441081.78;330811.34;330811.34;1.0;12151305000183;MINAS GERAIS MATERIAIS DE COMBATE A INCENDIO LTDA;2024-07-30 07:09:11;2024-09-20 11:43:18;
92660705900622024;9266070590062202400001;20622890000180-1-000098/2024;20622890000180;Cartão controle acesso;Cartão Controle Acesso Material: Pvc - Cloreto De Polivinila , Comprimento: 86 MM, Largura: 54 MM, Espessura: 1,60 MM, Freqüência: 125 KHZ, Capacidade: 26 BIT, Características Adicionais: Leitura Por Proximidade;M;618284.0;Unidade;30000.0;1.82;54600.0;1.45;43500.0;30000.0;11383230000101;AMAZONAS COMERCIO DE ADESIVOS E BRINDES LTDA;2024-10-30 08:39:39;2024-11-14 09:24:24;
98858905902752024;9885890590275202400001;88577416000118-1-000156/2024;88577416000118;Clorímetro;CLORÍMETRO, TIPO DIGITAL PORTÁTIL, FAIXA TRABALHO 0 A 2,50 MG/L, RESOLUÇÃO0,01 MG/L, PRECISÃO 0,02 MG/L, PRECISÃO FOTOMÉTRICA 2 PER, TENSÃO ALIMENTAÇÃO9 VDC OU 110/ 220 VAC V, ACESSÓRIOS 2 CUBETAS DE 25 ML; REAGENTES;MANUAL DEINSTRUÇÕE S, CARACTERÍSTICAS ADICIONAIS MICROPROCESSADOR INTERNO GARANTIDOREXATIDÃO LEI-;M;247827.0;Unidade  ;1.0;2347.0;2347.0;1667.07;1667.07;1.0;32578926000155;DINALAB COMERCIO E SERVICOS LTDA;2024-10-16 07:01:37;2024-11-26 14:59:00;
98818305900942024;9881830590094202400001;82777301000190-1-000260/2024;82777301000190;Sacola;SACOLA, MATERIAL NÁILON, COMPRIMENTO 340 MM, LARGURA 340 MM, ESPESSURA 90 MM,COR VERDE, TIPO ALÇA TIRACOLO, MATERIAL ALÇA CADARÇO ALGODÃO, DIÂMETRO ALÇA 30MM, CARACTERÍSTICAS ADICIONAIS PERSONALIZADA COM LOGOTIPO EM SILK SCREEN;M;229690.0;Unidade  ;30.0;111.57;3347.1;97.0;2910.0;30.0;43496899000198;ALS UNIFORMES PROFISSIONAIS LTDA;2024-09-04 07:15:38;2024-10-10 09:51:51;
92764405900102024;9276440590010202400001;05182233000761-1-000020/2024;05182233000761;Obras Civis Públicas ( Construção );Obras Civis Públicas ( Construção );S;5622.0;UN;1.0;433498.75;433498.75;326424.56;326424.56;1.0;21523996000190;EMUNA COMERCIO DE MOBILIARIO LTDA;2024-08-29 07:18:41;2024-10-03 15:22:48;
98957106903202024;9895710690320202400001;02056729000105-1-001376/2024;02056729000105;Lâmpada refletora;Lâmpada Refletora Tipo Bulbo: Noma, Potência Nominal Lâmpada: 50W, Tensão Nominal Lâmpada: 100-240V;M;485659.0;Unidade  ;10.0;45.53;455.3;45.0;450.0;10.0;42953383000162;NR SERVICES LTDA;2024-11-06 17:03:48;2024-11-13 08:32:55;
98378105901062024;9837810590106202400002;14217327000124-1-000121/2024;14217327000124;Açúcar;AÇÚCAR, TIPO CRISTAL, COLORAÇÃO BRANCA;M;603269.0;Embalagem 1,00 KG;2000.0;4.56;9120.0;4.42;8840.0;2000.0;40457662000100;S VASCONCELOS ROSAS;2024-10-17 07:07:05;2024-12-02 09:19:17;
98257305900232024;9825730590023202400001;11251832000105-1-000065/2024;11251832000105;Ventilador;Ventilador Tipo: Parede, Potência Motor: 200W, Tensão Alimentação: 110/220V, Características Adicionais: Oscilante, Inclinação Vertical, Controle De Veloci, Material: Aço, Diâmetro: 50CM, Cor: Preta;M;461897.0;Unidade  ;375.0;262.37;98388.75;194.0;72750.0;375.0;40001712000140;GM COMERCIO E SERVICO LTDA;2024-10-15 07:09:11;2024-11-04 09:04:13;
98138506000182024;9813850600018202400001;07587975000107-1-000020/2024;07587975000107;Bolo Alimentício sabor: variado, tipo: recheio/ corbetura, prazo validade: mínimo 7, ingredientes: farinha de trigo, leite, ovos, fermento químico e, características adicionais: embalagem individual BOLO ALIMENTÍCIO - BOLO ALIMENTÍCIO, SABOR MASSA BRANCA AMANTEIGADA, TIPO RECHEIO: CHOCOLATE 50%, CORBETURA DE CHANTININHO, PRAZO VALIDADE MÍNIMO 7 DIAS, INGREDIENTES FARINHA DE TRIGO, LEITE, OVOS, FERMENTO QUÍMICO E, CARACTERÍSTICAS ADICIONAIS EMBAL;Bolo Alimentício sabor: variado, tipo: recheio/ corbetura, prazo validade: mínimo 7, ingredientes: farinha de trigo, leite, ovos, fermento químico e, características adicionais: embalagem individual;M;308385.0;Quilograma;200.0;48.06;9612.0;48.06;9612.0;200.0;36486925000131;CLAUDIANNA DE SOUSA AMORIM 02736006305;2024-07-02 17:38:35;2024-07-02 17:38:36;
45052205901042024;4505220590104202400001;04104816000116-1-000206/2024;04104816000116;Álcool Etílico;Álcool Etílico Tipo: Hidratado , Teor Alcoólico: 70%_(70°Gl) , Apresentação: Líquido;M;269941.0;Frasco 1000,00 ML;6909.0;7.58;52370.22;6.88;47533.92;6909.0;43388441000115;RAVACHE COMERCIAL MEDICA E HOSPITALAR LTDA;2024-09-16 09:20:15;2024-10-14 08:51:51;
98562906900052024;9856290690005202400001;27165729000174-1-000253/2024;27165729000174;Assinatura - Publicação Informatizada;CONTRATAÇÃO DE EMPRESA PARA FORNECIMENTO DE LICENÇA DE USO DE FERRAMENTA DE PESQUISA E COMPARAÇÃO DE PREÇOS  Contratação de empresa especializada na prestação de serviço de fornecimento de licença de uso de ferramenta de pesquisa e comparação de preços praticados pela Administração Pública.;S;21040.0;UN;5.0;4900.0;24500.0;3900.0;19500.0;5.0;42818048000151;CAPACITACAO LEGAL - TREINAMENTOS LTDA;2024-11-14 14:43:12;2024-11-25 16:32:31;
98044705900282024;9804470590028202400001;05121991000184-1-000017/2024;05121991000184;Água Mineral Natural;Água Mineral Natural Tipo: Sem Gás , Material Embalagem: Alumínio , Tipo Embalagem: Descartável;M;613476.0;Copo 200,00 ML;89000.0;0.92;81880.0;0.37;32930.0;89000.0;05154476000109;DISTRIBUIDORA PROGRESSO COMERCIO DE ALIMENTOS EM GERAL LTDA;2024-08-22 07:05:06;2024-09-19 09:38:44;
98444506900522024;9844450690052202400001;18291351000164-1-000236/2024;18291351000164;Cadeira digitador;Cadeira Digitador Material Estrutura: Metálico , Material Assento: Espuma Poliuretano Injetado , Material Encosto: Espuma Poliuretano Injetado , Material Revestimento: Tecido , Tipo Base: Giratória , Cor Revestimento: Preta , Características Adicionais: Bordas Arredondadas, Regulagem Vertical À Gás, Bra , Apoio Braço: Com Braços , Tratamento Superficial Estrutura: Pintura Eletrostática Epóxi-Pó , Cor: Preta;M;246097.0;Unidade  ;1.0;1819.55;1819.55;1819.55;1819.55;1.0;38229748000133;BR3 OFFICE COMERCIO E REPRESENTACOES LTDA;2024-08-28 17:18:49;2024-09-16 10:28:35;
98587706000022024;9858770600002202400001;29138344000143-1-000165/2024;29138344000143;Bobina Papel Impressora aplicação: impressora plotter, comprimento: 50, gramatura: 75, largura: 914, tipo papel: sulfite Papel para Plotter (Bobina) 75 GR 610x50;Bobina Papel Impressora aplicação: impressora plotter, comprimento: 50, gramatura: 75, largura: 914, tipo papel: sulfite;M;275143.0;Unidade;12.0;133.33;1599.96;133.33;1599.96;12.0;43172124000167;B.R. SILVA LTDA;2024-06-12 18:42:08;2024-06-12 18:42:09;
98462505900542024;9846250590054202400001;19876424000142-1-000142/2024;19876424000142;Betoneira;BETONEIRA, FUNCIONAMENTO MOTOR ELÉTRICO, POTÊNCIA MOTOR 2 CV, ROTAÇÃO 26 RPM,CAPACIDADE TAMBOR 400 L;M;487731.0;Unidade  ;1.0;5701.45;5701.45;3890.0;3890.0;1.0;26596876000136;LICITAR COMERCIO E SERVICOS LTDA.;2024-12-03 07:03:38;2024-12-18 10:15:06;
98584706900342024;9858470690034202400001;29115474000160-1-000119/2024;29115474000160;Colete Identificação;Colete Identificação Material: Tecido, Tipo Tecido: Brim, Quantidade Bolsos: 4 (2 Superiores Frontais E 2 Inferiores Laterais), Características Adicionais: Conforme Modelo Do Órgão, Cor: Verde, Tamanho: Sob Medida;M;482286.0;Unidade  ;36.0;58.96;2122.56;57.99;2087.64;36.0;05369839000115;SAP COMERCIO SERVICOS E DISTRIBUIDORA LTDA;2024-10-31 11:46:36;2024-11-07 10:09:41;
98515506900422024;9851550690042202400001;18715409000150-1-000027/2024;18715409000150;Cadeira escritório;Cadeira Escritório Material Estrutura: Polipropileno / Tubo Aço , Material Revestimento Assento E Encosto: Tecido Poliéster , Material Encosto: Poliuretano Injetado Anatômico , Material Assento: Poliuretano Injetado Anatômico , Tratamento Superficial Estrutura: Pintura Eletrostática , Tipo Base: Giratória Com 5 Rodízios Duplos , Tipo Encosto: Regulável , Apoio Braço: Com Regulagem Vertical , Tipo Sistema Regulagem Vertical: Mecânica , Características Adicionais: Peso Max. Recomendado: 200 Kg , Dimensões Assento: 60 X 50 CM, Normas Técnicas: Abnt Nbr 13962/2002;M;613647.0;Unidade ;1.0;1795.625;1795.63;1647.01;1647.01;1.0;17932562000176;ALEXANDRE DE ALENCAR LOPES;2024-07-03 17:01:09;2024-09-03 14:19:09;
98586706900072024;9858670690007202400001;28606630000123-1-000093/2024;28606630000123;Toalha De Papel;Toalha De Papel Material: 100% Celulose Virgem, Tipo Folha: 2 Dobras, Comprimento: 20CM, Largura: 21CM, Cor: Branca, Características Adicionais: Interfolhada;M;436328.0;Pacote 1000,00 FL;1000.0;8.8;8800.0;8.0;8000.0;1000.0;44188622000160;ADRIANO MARTINS SERRANO;2024-10-08 11:07:04;2024-10-16 15:10:45;
98668105900982024;9866810590098202400001;44477909000100-1-000487/2024;44477909000100;Macarrão;Macarrão Teor De Umidade: Massa Seca, Base Da Massa: Farinha De Trigo Sarraceno, Apresentação: Soba;M;480420.0;Embalagem 500,00 G;1.0;419.0;419.0;401.3;401.3;1.0;10362443000186;W&C ALIMENTOS LTDA;2024-10-08 07:11:32;2024-11-28 13:59:10;
