idCompra;numeroControlePNCP;anoCompraPncp;orgaoEntidadeCnpj;orgaoEntidadeRazaoSocial;orgaoEntidadeEsferaId;orgaoEntidadePoderId;unidadeOrgaoUfSigla;unidadeOrgaoMunicipioNome;unidadeOrgaoCodigoIbge;modalidadeNome;codigoModalidade;objetoCompra;valorTotalHomologado;dataPublicacaoPncp;dataAtualizacaoPncp
98351505900692024;14043574000151-1-000544/2024;2024;14043574000151;MUNICIPIO DE FEIRA DE SANTANA;M;N;BA;FEIRA DE SANTANA;2910800;Pregão - Eletrônico;5;Aquisição água mineral natural, sem gás, para atender as necessidades da Secretaria Municipal de Desenvolvimento Social, do Município de Feira de Santana, Bahia e aos equipamentos coordenados por ela.;74100.0;2024-10-02 07:35:25;2024-10-02 07:35:25
98238105900602024;10091536000113-1-000124/2024;2024;10091536000113;MUNICIPIO DE CARUARU;M;N;PE;CARUARU;2604106;Pregão - Eletrônico;5;REGISTRO DE PREÇOS PARA EVENTUAL E FUTURA AQUISIÇÃO DE PLACAS TOPONÍMICAS, em atendimento as necessidades da Autarquia de Mobilidade, Trânsito e Transportes de Caruaru – AMTTC, ;39500.0;2024-09-25 07:08:04;2024-09-25 07:08:04
98922106900592024;01067479000146-1-000086/2024;2024;01067479000146;MUNICIPIO DE ANAPOLIS;M;N;GO;ANÁPOLIS;5201108;Dispensa;6;Dispensa de Licitação para aquisição de SCANNERS DE MESA, para atender a Diretoria de Defesa do Consumidor conforme Solicitação de Compras nº 000278/2024 por meio de Dispensa de Licitação amparada no art. 75, inciso II da Lei 14.133/2021.  Em caso de divergência existente entre as especificações do objeto descritas no sistema compras net e as especificações técnicas constantes no Termo de Referência, prevalecerão estas últimas. ;13140.88;2024-10-23 15:24:06;2024-10-23 15:24:06
98570305901542024;27165554000103-1-000429/2024;2024;27165554000103;MUNICIPIO DE VILA VELHA;M;N;ES;VILA VELHA;3205200;Pregão - Eletrônico;5;REGISTRO DE PREÇOS PARA AQUISIÇÃO DE MATERIAL DE CONSUMO ODONTOLÓGICO (FIXADORES E REVELADORES PARA RADIOGRAFIAS), PARA MANUTENÇÃO DA OFERTA DE SERVIÇO PÚBLICO EM SAÚDE BUCAL DA SECRETARIA MUCIPAL DE SAÚDE DE VILA VELHa.;5610.0;2024-11-11 07:02:54;2024-11-11 07:02:54
98198106002902024;08993917000146-1-000180/2024;2024;08993917000146;MUNICIPIO DE CAMPINA GRANDE;M;N;PB;CAMPINA GRANDE;2504009;Dispensa;6; AQUISIÇÃO DE MÓDULOS DE MEMÓRIA ADICIONAIS, VISANDO ATENDER AS DEMANDAS DA DIRETORIA DE TECNOLOGIA DA INFORMAÇÃO DO MUNICIPIO DE CAMPINA GRANDE, ESTADO DA PARAÍBA.;839.96;2024-12-03 14:36:50;2024-12-03 14:36:50
98137306910262024;07616162000106-1-000076/2024;2024;07616162000106;MUNICIPIO DE CAUCAIA;M;N;CE;CAUCAIA;2303709;Dispensa;6;Aquisição de receituário “b” azul, de interesse da secretaria de saúde do município de caucaia/ce;8550.0;2024-09-30 15:44:26;2024-09-30 15:44:26
45320405900022024;06158455000116-1-000002/2024;2024;06158455000116;MUNICIPIO DE IMPERATRIZ;M;N;MA;IMPERATRIZ;2105302;Pregão - Eletrônico;5;"Aquisição de Projetos Literários direcionados a diferentes grupos etários: Educação Infantil, englobando crianças de 0 a 5 anos; Ensino Fundamental, Anos Iniciais, para alunos do 1º ao 5º ano; Ensino Fundamental Anos Finais, voltado aos estudantes do 6º ao 9º ano; além da Educação de Jovens e Adultos (EJA); também abarca a capacitação correspondente para atender os profissionais da educação, incluindo professores e  coordenadores, nas áreas da Educação Infantil";28380165.45;2024-07-12 07:07:56;2024-07-25 07:18:12
98270506000452024;12198693000158-1-000088/2024;2024;12198693000158;MUNICIPIO DE ARAPIRACA;M;N;AL;ARAPIRACA;2700300;Dispensa;6;Aquisição de medicamento, paciente com hipertensão arterial sistêmica e Epilepsia generalizada não especificada.;288.0;2024-10-02 10:49:57;2024-10-10 11:51:23
92977006000112024;20267427000168-1-000043/2024;2024;20267427000168;FUNDACAO DE SERVICOS DE SAUDE DE DOURADOS;M;E;MS;DOURADOS;5003702;Dispensa;6;Contratação, por dispensa de licitação, de empresa especializada para aquisição de Reagentes para Diagnóstico Clínico.;4908.0;2024-11-07 17:13:48;2024-11-07 17:13:48
92824306000102024;05853163000130-1-000142/2024;2024;05853163000130;MUNICIPIO DE MARABA;M;N;PA;MARABÁ;1504208;Dispensa;6;CONTRATAÇÃO DE EMPRESA PARA AQUISIÇÃO DE FOGÃO 4 BOCAS, ACENDIMENTO AUTOMÁTICO COM FORNO, PARA ATENDER AS NECESSIDADES DA SECRETARIA MUNICIPAL DE SEGURANÇA INSTITUCIONAL E SEUS ÓRGÃOS ADIDOS;3399.96;2024-10-15 14:09:45;2024-10-15 14:09:45
98916706900682024;03507548000110-1-000073/2024;2024;03507548000110;MUNICIPIO DE VARZEA GRANDE;M;N;MT;VÁRZEA GRANDE;5108402;Dispensa;6;O objeto do presente procedimento é a escolha da proposta mais vantajosa para a Contratação de empresa para o fornecimento de equipamentos permanentes de informática para atender às necessidades do Município de Várzea Grande - MT, conforme condições, quantidades e exigências estabelecidas neste Aviso de Contratação Direta e seus anexos.;52042.0;2024-11-27 09:10:32;2024-11-27 09:10:32
98000507000382024;04092672000125-1-000139/2024;2024;04092672000125;MUNICIPIO DE JI-PARANA;M;N;RO;JI-PARANÁ;1100122;Inexigibilidade;7;Contratação de empresa especializada em fornecimento de assinatura anual de banco de dados de pesquisa de preços via web, ;38540.0;2024-10-18 09:52:16;2024-10-18 10:32:54
98177905900052024;08170862000174-1-000034/2024;2024;08170862000174;MUNICIPIO DE PARNAMIRIM;M;N;RN;PARNAMIRIM;2403251;Pregão - Eletrônico;5;Aquisição de veículo automotor, para atender às necessidades da Secretaria Municipal de Assistência Social de Parnamirim/RN – SEMAS.;78500.0;2024-09-20 07:07:18;2024-09-20 07:07:18
98010705900062024;04012548000102-1-000033/2024;2024;04012548000102;MUNICIPIO DE CRUZEIRO DO SUL;M;N;AC;CRUZEIRO DO SUL;1200203;Pregão - Eletrônico;5;Aquisição de maquinas e equipamentos agrícolas;371798.45;2024-07-19 07:14:02;2024-07-19 07:14:02
98061505000722024;23066640000108-1-000002/2024;2024;23066640000108;MUNICIPIO DE SANTANA;M;N;AP;SANTANA;1600600;Pregão - Presencial;5;Contratação de instituição financeira para a prestação de serviços de processamento dos pagamentos ativos originados da folha de salários dos servidores efetivos e comissionados, temporários, de programas, estagiários e demais pessoas que mantenham vínculo de remuneração com a Administração Direta do Poder Executivo Municipal, em caráter de exclusividade, e concessão de crédito consignado, em caráter preferencial.;1.0;2024-11-08 14:01:11;2024-12-04 16:36:48
98003605000172024;01613031000180-1-000001/2024;2024;01613031000180;MUNICIPIO DE RORAINOPOLIS;M;N;RR;RORAINÓPOLIS;1400472;Pregão - Presencial;5;Aquisição de veículos Ambulâncias Tipo B – Suporte Básico, padrão SAMU e Tipo A (Furgão), remoção simples, para atender as demandas da Secretaria Municipal de Saúde (SEMSA).;1404000.0;2024-10-31 13:53:46;2024-11-28 12:00:46
98769105902362024;76282656000106-1-000691/2024;2024;76282656000106;MUNICIPIO DE MARINGA;M;N;PR;MARINGÁ;4115200;Pregão - Eletrônico;5;Registro de preços para aquisição de MEDICAMENTOS necessários ao abastecimento da rede pública municipal, por solicitação da Secretaria Municipal de Saúde, visando o atendimento integral à saúde da população conforme previsto na lei nº 8080/1988, que rege o sistema único de saúde.;5373878.65;2024-10-08 07:06:49;2024-10-08 07:06:49
98718307000922024;45176005000108-1-000706/2024;2024;45176005000108;MUNICIPIO DE TAUBATE;M;N;SP;TAUBATÉ;3554102;Inexigibilidade;7;AQUISIÇÃO DE ELETRODOS PARA ELETROENCEFALOGRAMA.;8250.0;2024-09-10 15:00:47;2024-09-10 15:00:47
98749305901012024;76208867000107-1-000325/2024;2024;76208867000107;MUNICIPIO DE CASCAVEL;M;N;PR;CASCAVEL;4104808;Pregão - Eletrônico;5;Aquisição de 03 (três) motocicletas para a Guarda Municipal de Cascavel - Emenda Individual nº 202330840002.;196110.0;2024-11-05 07:25:08;2024-11-05 07:25:08
98473306000622024;18338178000102-1-000200/2024;2024;18338178000102;MUNICIPIO DE JUIZ DE FORA;M;N;MG;JUIZ DE FORA;3136702;Dispensa;6;Keytruda 100mg/4ml solução injetável frasco de vidro incolor x 4 ml.;160214.0;2024-09-13 14:21:10;2024-09-13 14:21:10
98756306002412024;76206606000140-1-000362/2024;2024;76206606000140;MUNICIPIO DE FOZ DO IGUACU;M;N;PR;FOZ DO IGUAÇU;4108304;Dispensa;6;Aquisição de fermento biológico;41175.0;2024-09-10 09:39:31;2024-09-10 09:39:31
98884105901042024;88488366000100-1-000435/2024;2024;88488366000100;MUNICIPIO DE SANTA MARIA;M;N;RS;SANTA MARIA;4316907;Pregão - Eletrônico;5;RP - Medicamentos;28182.0;2024-10-15 07:06:03;2024-10-21 07:19:03
98486503900302024;22678874000135-1-000430/2024;2024;22678874000135;MUNICIPIO DE MONTES CLAROS;M;N;MG;MONTES CLAROS;3143302;Concorrência - Eletrônica;3;Contratação de empresa especializada para execução de obras de reforma dos sistemas de segurança contra incêndio e pânico do mercado central christo raeff - montes claros/mg, com fornecimento de materiais, na área urbana do municipio de Montes Claros.;330811.34;2024-07-30 07:09:11;2024-07-30 07:09:11
92660705900622024;20622890000180-1-000098/2024;2024;20622890000180;MUNICIPIO DE GOVERNADOR VALADARES;M;N;MG;GOVERNADOR VALADARES;3127701;Pregão - Eletrônico;5;Aquisição de material gráfico – cartão do idoso – para garantir o andamento e desenvolvimento do serviço prestado pela SMAS;43500.0;2024-10-30 08:39:39;2024-10-30 08:39:39
98858905902752024;88577416000118-1-000156/2024;2024;88577416000118;MUNICIPIO DE CANOAS;M;N;RS;CANOAS;4304606;Pregão - Eletrônico;5;Fornecimento de clorímetro digital portátil e reagentes DPD para cloro livre;3305.99;2024-10-16 07:01:37;2024-10-16 07:01:37
98818305900942024;82777301000190-1-000260/2024;2024;82777301000190;MUNICIPIO DE LAGES;M;N;SC;LAGES;4209300;Pregão - Eletrônico;5;Aquisição de Bolsas de Trabalho personalizadas para a equipe de fiscalização da Vigilância Sanitária;2910.0;2024-09-04 07:15:38;2024-09-04 07:15:38
92764405900102024;05182233000761-1-000020/2024;2024;05182233000761;MUNICIPIO DE SANTAREM;M;N;PA;SANTARÉM;1506807;Pregão - Eletrônico;5;Construção de unidade Básica de Saúde (UBS) Tapará Grande - Modelo Municipal;326424.56;2024-08-29 07:18:41;2024-08-29 07:18:41
98957106903202024;02056729000105-1-001376/2024;2024;02056729000105;MUNICIPIO DE RIO VERDE;M;N;GO;RIO VERDE;5218805;Dispensa;6;Aquisição de 10 Lâmpada de LED tubular T8 mínimo 40W bivolt luz branca 240 cm para repor as lâmpadas queimadas da C.E.D (central de eliminação de documentos) atendendo assim as necessidades da controladoria municipal.;450.0;2024-11-06 17:03:48;2024-11-06 17:03:48
98378105901062024;14217327000124-1-000121/2024;2024;14217327000124;MUNICIPIO DE PAULO AFONSO;M;N;BA;PAULO AFONSO;2924009;Pregão - Eletrônico;5;Aquisição de café em pó e açúcar para as necessidades da secretaria de educação.;8840.0;2024-10-17 07:07:05;2024-10-17 07:07:05
98257305900232024;11251832000105-1-000065/2024;2024;11251832000105;MUNICIPIO DE SAO LOURENCO DA MATA;M;N;PE;SÃO LOURENÇO DA MATA;2613701;Pregão - Eletrônico;5;Aquisição de Ventiladores Tipo Parede, para atender as necessidades da Secretaria de Educação do Município de São Lourenço da Mata – PE.;97000.0;2024-10-15 07:09:11;2024-10-15 07:09:11
98138506000182024;07587975000107-1-000020/2024;2024;07587975000107;MUNICIPIO DE CRATO;M;N;CE;CRATO;2304202;Dispensa;6;Aquisição do tradicional bolo com temática alusiva ao aniversário de 260 anos do município, em alusão ao aniversário do município “FestCrato 2024”, ;9612.0;2024-07-02 17:38:35;2024-07-02 17:38:35
45052205901042024;04104816000116-1-000206/2024;2024;04104816000116;MUNICIPIO DE ARIQUEMES;M;N;RO;ARIQUEMES;1100023;Pregão - Eletrônico;5;Registro de Preço para eventual aquisição de material de limpeza e higiene, material de consumo para atender as Secretarias Municipais da Prefeitura Municipal de Ariquemes/RO, por um período de 12 meses.;68280.36;2024-09-16 09:20:15;2024-09-16 09:20:15
