record_id;pncp_id;id_compra_item;descricao;catmat;catser;quantidade;valor_unitario;valor_total;valor_referencia;unidade_medida;unidade_canonica;orgao_cnpj;orgao_razao;esfera;poder;uf;municipio_ibge;municipio_nome;fornecedor_cnpj;fornecedor_razao;modalidade;objeto;ano;publicado_em;uf_item;quarter;snapshot_id;methodology_version;source;valor_por_unidade_canonica;situacao;valor_unitario_resultado;valor_unitario_estimado;resultado_http
de-dup-a;29477000000180-1-2024-00A106;I-A1-DUP;REAME DUPLICADO A1;900006;;4;12.00;48.00;;UN;un;29477000000180;PREFEITURA MUNICIPAL DE VOLTA REDONDA;municipal;executivo;RJ;3306305;Volta Redonda;11222333000181;PAPELARIA NOVA LTDA;Pregao;reame a1;2024;2024-03-15;RJ;2024-Q1;data-error-golden;phase1-0.1.0;compras_gov;12.00;Homologado;12.00;;
de-dup-b;29477000000180-1-2024-00A106;I-A1-DUP;REAME DUPLICADO A1;900006;;4;12.00;48.00;;UN;un;29477000000180;PREFEITURA MUNICIPAL DE VOLTA REDONDA;municipal;executivo;RJ;3306305;Volta Redonda;11222333000181;PAPELARIA NOVA LTDA;Pregao;reame a1;2024;2024-03-15;RJ;2024-Q1;data-error-golden;phase1-0.1.0;compras_gov;12.00;Homologado;12.00;;
de-dup-c;29477000000180-1-2024-00A106;I-A1-DUP;REAME DUPLICADO A1;900006;;4;12.00;48.00;;UN;un;29477000000180;PREFEITURA MUNICIPAL DE VOLTA REDONDA;municipal;executivo;RJ;3306305;Volta Redonda;11222333000181;PAPELARIA NOVA LTDA;Pregao;reame a1;2024;2024-03-15;RJ;2024-Q1;data-error-golden;phase1-0.1.0;compras_gov;12.00;Homologado;12.00;;
de-catalog;29477000000180-1-2024-00A107;I-A1-CATALOG;SCANNER A1 CATALOG MISS;900007;;2;2500.00;5000.00;10.00;UN;un;29477000000180;PREFEITURA MUNICIPAL DE VOLTA REDONDA;municipal;executivo;RJ;3306305;Volta Redonda;11222333000181;PAPELARIA NOVA LTDA;Pregao;scanner a1;2024;2024-03-15;RJ;2024-Q1;data-error-golden;phase1-0.1.0;compras_gov;2500.00;Homologado;2500.00;;
de-fracassado;29477000000180-1-2024-00A201;I-A1-FRAC;PAPEL A4 A1 FRACASSADO;900001;;10;5000.00;50000.00;;UN;un;29477000000180;PREFEITURA MUNICIPAL DE VOLTA REDONDA;municipal;executivo;RJ;3306305;Volta Redonda;11222333000181;PAPELARIA NOVA LTDA;Pregao;papel a4 a1;2024;2024-03-15;RJ;2024-Q1;data-error-golden;phase1-0.1.0;compras_gov;5000.00;Fracassado;;5000.00;
de-deserto;29477000000180-1-2024-00A202;I-A1-DES;PAPEL A4 A1 DESERTO;900001;;10;5000.00;50000.00;;UN;un;29477000000180;PREFEITURA MUNICIPAL DE VOLTA REDONDA;municipal;executivo;RJ;3306305;Volta Redonda;11222333000181;PAPELARIA NOVA LTDA;Pregao;papel a4 a1;2024;2024-03-15;RJ;2024-Q1;data-error-golden;phase1-0.1.0;compras_gov;5000.00;Deserto;;5000.00;
de-anulado;29477000000180-1-2024-00A203;I-A1-ANUL;PAPEL A4 A1 ANULADO;900001;;10;5000.00;50000.00;;UN;un;29477000000180;PREFEITURA MUNICIPAL DE VOLTA REDONDA;municipal;executivo;RJ;3306305;Volta Redonda;11222333000181;PAPELARIA NOVA LTDA;Pregao;papel a4 a1;2024;2024-03-15;RJ;2024-Q1;data-error-golden;phase1-0.1.0;compras_gov;5000.00;Anulado;;5000.00;
de-revogado;29477000000180-1-2024-00A204;I-A1-REV;PAPEL A4 A1 REVOGADO;900001;;10;5000.00;50000.00;;UN;un;29477000000180;PREFEITURA MUNICIPAL DE VOLTA REDONDA;municipal;executivo;RJ;3306305;Volta Redonda;11222333000181;PAPELARIA NOVA LTDA;Pregao;papel a4 a1;2024;2024-03-15;RJ;2024-Q1;data-error-golden;phase1-0.1.0;compras_gov;5000.00;Revogado;;5000.00;
de-cancelado;29477000000180-1-2024-00A205;I-A1-CANC;PAPEL A4 A1 CANCELADO;900001;;10;5000.00;50000.00;;UN;un;29477000000180;PREFEITURA MUNICIPAL DE VOLTA REDONDA;municipal;executivo;RJ;3306305;Volta Redonda;11222333000181;PAPELARIA NOVA LTDA;Pregao;papel a4 a1;2024;2024-03-15;RJ;2024-Q1;data-error-golden;phase1-0.1.0;compras_gov;5000.00;Cancelado;;5000.00;
de-204;29477000000180-1-2024-00A206;I-A1-204;PAPEL A4 A1 RESULTADOS 204;900001;;10;5000.00;50000.00;;UN;un;29477000000180;PREFEITURA MUNICIPAL DE VOLTA REDONDA;municipal;executivo;RJ;3306305;Volta Redonda;11222333000181;PAPELARIA NOVA LTDA;Pregao;papel a4 a1;2024;2024-03-15;RJ;2024-Q1;data-error-golden;phase1-0.1.0;compras_gov;5000.00;Homologado;;5000.00;204
de-andamento;29477000000180-1-2024-00A207;I-A1-AND;PAPEL A4 A1 EM ANDAMENTO;900001;;10;5000.00;50000.00;;UN;un;29477000000180;PREFEITURA MUNICIPAL DE VOLTA REDONDA;municipal;executivo;RJ;3306305;Volta Redonda;11222333000181;PAPELARIA NOVA LTDA;Pregao;papel a4 a1;2024;2024-03-15;RJ;2024-Q1;data-error-golden;phase1-0.1.0;compras_gov;5000.00;Em andamento;;5000.00;
de-homologado;29477000000180-1-2024-00A208;I-A1-HOMO;PAPEL A4 RESMA A1 PEER;900001;;10;5000.00;50.00;;UN;un;29477000000180;PREFEITURA MUNICIPAL DE VOLTA REDONDA;municipal;executivo;RJ;3306305;Volta Redonda;11222333000181;PAPELARIA NOVA LTDA;Pregao;papel a4 a1;2024;2024-03-15;RJ;2024-Q1;data-error-golden;phase1-0.1.0;compras_gov;5.00;Homologado;5.00;5000.00;
de-nocat;29477000000180-1-2024-00A209;I-A1-NOCAT;WIBBLEFLUX NOCAT A1 HOMOLOGADO;;;10;5.00;50.00;;UN;un;29477000000180;PREFEITURA MUNICIPAL DE VOLTA REDONDA;municipal;executivo;RJ;3306305;Volta Redonda;11222333000181;PAPELARIA NOVA LTDA;Pregao;papel a4 a1;2024;2024-03-15;RJ;2024-Q1;data-error-golden;phase1-0.1.0;compras_gov;5.00;Homologado;5.00;;
de-andamento-award;29477000000180-1-2024-00A210;I-A1-ANDAW;PAPEL A4 RESMA A1 PEER;900001;;10;5.00;50.00;;UN;un;29477000000180;PREFEITURA MUNICIPAL DE VOLTA REDONDA;municipal;executivo;RJ;3306305;Volta Redonda;11222333000181;PAPELARIA NOVA LTDA;Pregao;papel a4 a1;2024;2024-03-15;RJ;2024-Q1;data-error-golden;phase1-0.1.0;compras_gov;5.00;Em andamento;5.00;;
